date,session,location,exercise,group,set,kg,reps,rpe,notes,is_machine
2026-05-01,push,gym,Bench,Chest,1,90,7,7,,false
2026-05-01,push,gym,Bench,Chest,2,90,6,8,,false
2026-05-01,push,gym,Incline Bench,Chest,1,70,7,7,,false
2026-05-01,push,gym,Incline Bench,Chest,2,70,6,8,,false
2026-05-01,push,gym,Overhead Press – Bar,Shoulders,1,60,7,7,,false
2026-05-01,push,gym,Overhead Press – Bar,Shoulders,2,60,6,8,,false
2026-05-01,push,gym,Lateral Raises – Dumbbells,Shoulders,1,16,8,7,,false
2026-05-01,push,gym,Lateral Raises – Dumbbells,Shoulders,2,16,8,7,,false
2026-05-01,push,gym,Dips,Tris,1,0,8,7,,false
2026-05-01,push,gym,Dips,Tris,2,0,7,8,,false
2026-05-01,push,gym,Overhead Extensions,Tris,1,30,8,7,,false
2026-05-01,push,gym,Overhead Extensions,Tris,2,30,7,8,,false
